id,playtime_forever,price,total_positive_reviews,total_negative_reviews,genres_Action,genres_Adventure,genres_Indie,genres_RPG,categories_Full controller support,categories_Multi-player,categories_Steam Cloud,categories_Steam Trading Cards,tags_Action,tags_Atmospheric,tags_Co-op,tags_Great Soundtrack,tags_Indie,tags_Multiplayer,tags_Open World,tags_RPG,tags_Story Rich,tags_Strategy,purchase_year,purchase_month,purchase_day,release_year,release_month,release_day
0,0.0,3700.0,372.0,96.0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,2018,7,2,2013,12,10
1,0.016666666666666666,0.0,23.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,11,26,2015,8,12
2,0.0,5000.0,3018.0,663.0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,2018,7,2,2014,1,28
3,1.5333333333333334,9900.0,63078.0,1746.0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,2016,11,28,2010,3,31
4,22.33333333333333,4800.0,8841.0,523.0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,2018,3,4,2012,7,30
5,2.933333333333333,25800.0,15356.115492957746,3348.9915492957753,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,2021,12,26,2019,3,26
6,2.6166666666666667,3600.0,39776.0,1035.0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,2018,2,16,2012,10,23
7,0.15,0.0,33.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2018,1,29,2016,4,28
8,0.016666666666666666,4000.0,1875.0,39.0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,2018,11,23,2014,2,25
9,0.016666666666666666,8800.0,47.0,11.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2017,12,22,2017,10,17
10,0.0,6800.0,5893.0,700.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2018,1,30,2010,9,23
11,0.0,2500.0,148.0,35.0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,2017,6,23,2013,11,13
12,0.0,0.0,110.0,260.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2019,7,20,2018,12,11
13,20.566666666666666,3300.0,9659.0,1058.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,2016,10,9,2016,8,31
14,0.6333333333333333,5700.0,5871.0,551.0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,2018,6,13,2016,8,3
15,0.016666666666666666,0.0,167.0,30.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,2017,9,16,2010,7,6
16,3.3,6800.0,21566.0,1289.0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,2018,1,13,2012,9,20
17,0.0,11200.0,43103.0,4042.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,2019,5,30,2015,4,27
18,0.0,11200.0,30934.0,7777.0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,2018,2,18,2016,5,9
19,0.0,3600.0,74.0,115.0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2018,12,21,2015,4,16
20,0.16666666666666666,6800.0,1122.0,248.0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,2018,1,30,2010,11,26
21,1.6166666666666667,8800.0,8406.0,1780.0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,2016,11,28,2014,9,18
22,0.0,8800.0,20437.0,1847.0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,2018,5,16,2017,8,7
23,0.05,0.0,2.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,11,19,2016,6,3
