id,playtime_forever,is_free,price,total_positive_reviews,total_negative_reviews,genres0,genres1,genres2,genres3,genres4,genres5,genres6,genres7,genres8,genres9,categories0,categories1,categories2,categories3,categories4,categories5,categories6,categories7,categories8,categories9,categories10,categories11,categories12,categories13,categories14,categories15,categories16,categories17,categories18,categories19,tags0,tags1,tags2,tags3,tags4,tags5,tags6,tags7,tags8,tags9,tags10,tags11,tags12,tags13,tags14,tags15,tags16,tags17,tags18,tags19,purchase_year,purchase_month,purchase_day,release_year,release_month,release_day
0,0.0,0,3700.0,372.0,96.0,8,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,225.0,286.0,182.0,24.0,15.0,216.0,295.0,249.0,172.0,197.0,190.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,7,2,2013,12,10
1,0.016666666666666666,1,0.0,23.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,135.0,194.0,82.0,172.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,11,26,2015,8,12
2,0.0,0,5000.0,3018.0,663.0,8,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,29.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,225.0,286.0,255.0,127.0,141.0,148.0,132.0,172.0,13.0,182.0,93.0,120.0,121.0,48.0,256.0,196.0,87.0,264.0,159.0,2018,7,2,2014,1,28
3,1.5333333333333334,0,9900.0,63078.0,1746.0,20,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13.0,9.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,194.0,239.0,79.0,17.0,16.0,305.0,9.0,59.0,225.0,171.0,198.0,172.0,216.0,28.0,246.0,94.0,202.0,262.0,127.0,2016,11,28,2010,3,31
4,22.33333333333333,0,4800.0,8841.0,523.0,20,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,18.0,9.0,29.0,1.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,277.0,16.0,79.0,230.0,127.0,246.0,262.0,305.0,141.0,255.0,187.0,172.0,76.0,194.0,174.0,225.0,93.0,132.0,275.0,2018,3,4,2012,7,30
5,2.933333333333333,0,25800.0,15356.115492957746,3348.991549295775,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,7.0,2.0,24.0,9.0,1.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194,239.0,217.0,277.0,262.0,230.0,225.0,63.0,172.0,15.0,236.0,181.0,246.0,24.0,157.0,305.0,106.0,96.0,198.0,9.0,2018,3,4,2019,3,26
6,2.6166666666666667,0,3600.0,39776.0,1035.0,20,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,16.0,157.0,127.0,260.0,248.0,212.0,163.0,209.0,115.0,256.0,106.0,172.0,118.0,174.0,120.0,62.0,24.0,112.0,205.0,2018,2,16,2012,10,23
7,0.15,1,0.0,33.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,94.0,135.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,29,2016,4,28
8,0.016666666666666666,0,4000.0,1875.0,39.0,8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194,242.0,225.0,262.0,132.0,265.0,141.0,127.0,172.0,255.0,240.0,120.0,85.0,79.0,119.0,16.0,182.0,142.0,250.0,176.0,2018,11,23,2014,2,25
9,0.016666666666666666,0,8800.0,47.0,11.0,20,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,225.0,39.0,174.0,13.0,257.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,12,22,2017,10,17
